job_id,skills_found
000DK4K1NVKE,"['AWS', 'Azure', 'PyTorch', 'NLP']"
0023Q8749XE1,"['AWS', 'Computer Vision', 'Azure']"
002CKPXQP6V4,"['PyTorch', 'Scikit-learn', 'Azure', 'AWS']"
004M23U2DOF8,"['AWS', 'SQL', 'R']"
004QE6WT346F,"['GCP', 'Python', 'Azure']"
0061ZNNT3BA1,"['TensorFlow', 'SQL', 'PyTorch', 'Computer Vision']"
007F6HCWQ5AM,"['TensorFlow', 'GCP', 'AWS', 'R', 'Azure', 'Python']"
007T8FYFQ4B9,"['Computer Vision', 'Python', 'NLP', 'SQL', 'AWS', 'TensorFlow']"
008JSH07G53Y,"['GCP', 'Computer Vision', 'R', 'TensorFlow', 'AWS']"
009FJFUHIZCS,"['PyTorch', 'AWS', 'Scikit-learn', 'TensorFlow', 'Python', 'Computer Vision']"
009OIFDZTITM,"['GCP', 'TensorFlow', 'PyTorch']"
00A8OIAVYVV3,"['SQL', 'TensorFlow', 'GCP', 'PyTorch']"
00B2PABC0KL4,"['AWS', 'Azure', 'R', 'Computer Vision', 'GCP']"
00C1XI0UCFDQ,"['Scikit-learn', 'GCP', 'Computer Vision', 'SQL']"
00CDE2LOFBZC,"['Scikit-learn', 'Computer Vision', 'Azure', 'Python', 'TensorFlow', 'GCP']"
00CMI01DNYTP,"['GCP', 'R', 'AWS']"
00EZ13D39OC4,"['TensorFlow', 'Python', 'Computer Vision']"
00F3IOHUAAHL,"['PyTorch', 'Azure', 'AWS', 'R', 'Python']"
00F6DQGKCSX6,"['TensorFlow', 'PyTorch', 'Computer Vision', 'Scikit-learn', 'GCP']"
00G4YA0VC9WM,"['Computer Vision', 'GCP', 'Scikit-learn']"
00HEBMHHXF8N,"['Computer Vision', 'AWS', 'Azure', 'Python', 'GCP']"
00JORG5KNXKH,"['Python', 'PyTorch', 'Computer Vision', 'AWS']"
00OZ4U8N2LR4,"['AWS', 'NLP', 'R', 'Azure']"
00PO7MHV9SAH,"['NLP', 'Scikit-learn', 'Computer Vision', 'Azure', 'GCP', 'PyTorch']"
00PPNQSJ5EV9,"['SQL', 'R', 'NLP', 'Azure', 'Computer Vision']"
00QEHFH921OO,"['Azure', 'Python', 'SQL', 'GCP', 'NLP']"
00QH7D3UYH8G,"['R', 'SQL', 'NLP', 'PyTorch']"
00RPJJY0SP11,"['PyTorch', 'GCP', 'SQL', 'NLP']"
00SIJVTGEEMF,"['R', 'SQL', 'Computer Vision', 'Python']"
00SRU3E2C5NZ,"['Computer Vision', 'NLP', 'R', 'AWS', 'Azure']"
00STWBSINSZJ,"['GCP', 'TensorFlow', 'R', 'AWS', 'SQL']"
00UILDEHA39E,"['PyTorch', 'TensorFlow', 'Computer Vision', 'Python', 'GCP', 'Scikit-learn']"
00UUB55PS3R5,"['Python', 'NLP', 'GCP', 'Scikit-learn', 'TensorFlow']"
00VNAOK94F1O,"['TensorFlow', 'Azure', 'Python', 'SQL', 'AWS']"
00W3Q1WF6YKH,"['PyTorch', 'AWS', 'Python']"
00W4MMMQ3VZ7,"['AWS', 'Python', 'GCP', 'SQL']"
00W7HLQ64F57,"['Scikit-learn', 'Python', 'AWS', 'TensorFlow', 'Computer Vision', 'Azure']"
00WOXLT1FAKM,"['PyTorch', 'R', 'AWS', 'Scikit-learn']"
00XSF6D3XJI2,"['SQL', 'Python', 'NLP', 'R']"
00YB4101NXOY,"['Azure', 'Scikit-learn', 'Computer Vision']"
00ZXQRWEJKIN,"['NLP', 'Azure', 'R', 'PyTorch']"
011OEIX06F4P,"['R', 'Computer Vision', 'NLP', 'Python', 'Scikit-learn', 'GCP']"
013NHHYXP6HI,"['AWS', 'SQL', 'TensorFlow', 'R', 'PyTorch', 'Azure']"
014OSW63DRI5,"['Scikit-learn', 'Azure', 'SQL', 'AWS', 'Python', 'Computer Vision']"
015J0IW4UU2W,"['Azure', 'Computer Vision', 'R', 'Scikit-learn', 'TensorFlow']"
015Z0FIYS9HH,"['PyTorch', 'Azure', 'Scikit-learn']"
016B4LD23KMX,"['NLP', 'AWS', 'TensorFlow', 'Azure', 'Python', 'Computer Vision']"
0184XTGD0MA1,"['PyTorch', 'TensorFlow', 'Python']"
01A7AIHIQ33K,"['PyTorch', 'Scikit-learn', 'GCP', 'TensorFlow', 'Computer Vision']"
01BGCD9Z6EG8,"['GCP', 'AWS', 'PyTorch', 'Computer Vision', 'TensorFlow']"
01BRJINHDWRE,"['Python', 'R', 'PyTorch']"
01CJTD41KI8C,"['SQL', 'Computer Vision', 'R', 'GCP', 'Scikit-learn']"
01DUF4Z69Y5G,"['SQL', 'AWS', 'NLP']"
01EH4UKQ0CR0,"['NLP', 'Computer Vision', 'AWS', 'TensorFlow', 'R']"
01GQ0B3MCJJC,"['TensorFlow', 'PyTorch', 'SQL']"
01I2T10ZLFPV,"['Computer Vision', 'GCP', 'TensorFlow']"
01I3QSNP12NT,"['Scikit-learn', 'GCP', 'AWS', 'Python']"
01IIZQK4MHW5,"['SQL', 'Scikit-learn', 'AWS', 'Computer Vision']"
01IR44A2IUNP,"['GCP', 'Python', 'R', 'TensorFlow', 'SQL', 'NLP']"
01J9WEJYR6RF,"['NLP', 'Python', 'SQL']"
01LC5WW9LZHV,"['Scikit-learn', 'Computer Vision', 'R']"
01LR9G17X43K,"['PyTorch', 'Computer Vision', 'TensorFlow', 'NLP']"
01LUZC01B470,"['GCP', 'Computer Vision', 'Python', 'TensorFlow', 'NLP']"
01M3KNRJJ4D4,"['Python', 'GCP', 'SQL', 'TensorFlow']"
01PFZYSUH89D,"['Computer Vision', 'GCP', 'AWS', 'Azure']"
01PHCOWT3OML,"['PyTorch', 'Azure', 'AWS', 'R']"
01PK13J46SC1,"['PyTorch', 'R', 'NLP', 'TensorFlow']"
01Q3M1220TY0,"['AWS', 'SQL', 'GCP', 'Scikit-learn', 'R']"
01Q3M73HC9JY,"['R', 'GCP', 'Computer Vision', 'NLP', 'TensorFlow']"
01Q4SZAPLV5A,"['PyTorch', 'Azure', 'NLP']"
01RFW9CAA12K,"['Scikit-learn', 'Azure', 'Python', 'R', 'SQL', 'GCP']"
01SE66E3MOBC,"['GCP', 'Scikit-learn', 'R']"
01SFY4DKV781,"['Computer Vision', 'Scikit-learn', 'AWS', 'SQL']"
01TSU99HPBNC,"['Scikit-learn', 'Computer Vision', 'PyTorch', 'R', 'NLP', 'TensorFlow']"
01U9SYLRZF1K,"['AWS', 'SQL', 'R', 'Azure']"
01UJLBXSMKW9,"['TensorFlow', 'Azure', 'Computer Vision', 'Python', 'SQL', 'R']"
01WAZP705NEW,"['PyTorch', 'SQL', 'Python']"
01YBSN673LN9,"['R', 'AWS', 'TensorFlow', 'Scikit-learn']"
01YQT061ATM1,"['Python', 'Azure', 'NLP', 'PyTorch']"
01ZDIZUYM7NF,"['NLP', 'R', 'PyTorch']"
01ZF02382OIA,"['Python', 'SQL', 'Scikit-learn', 'TensorFlow']"
01ZXMPRADBKT,"['Azure', 'SQL', 'Computer Vision', 'NLP']"
0234NKSP2V5S,"['AWS', 'NLP', 'Computer Vision', 'Python', 'PyTorch', 'TensorFlow']"
02402UKYRA7D,"['Python', 'Azure', 'TensorFlow', 'GCP']"
024XSRWAG4YK,"['SQL', 'NLP', 'GCP', 'Computer Vision']"
0256QD81XX38,"['PyTorch', 'R', 'NLP', 'Computer Vision']"
0276J4J48HWX,"['NLP', 'Scikit-learn', 'SQL', 'PyTorch']"
028BYL2T7PJY,"['NLP', 'SQL', 'Python', 'Computer Vision', 'AWS']"
028IRXY84IY3,"['Azure', 'NLP', 'GCP', 'R', 'SQL']"
029BWHTX7A56,"['Python', 'Computer Vision', 'Scikit-learn', 'GCP', 'SQL']"
02B3DKVTYNZ4,"['Python', 'AWS', 'Azure', 'GCP', 'Computer Vision', 'R']"
02BBTM8EN427,"['NLP', 'SQL', 'Azure', 'TensorFlow', 'R', 'Python']"
02BWDPT5QTRZ,"['AWS', 'Azure', 'Scikit-learn', 'Computer Vision']"
02EJ837AZB2A,"['NLP', 'Scikit-learn', 'TensorFlow', 'Python', 'PyTorch', 'Computer Vision']"
02EN90E3EOLZ,"['AWS', 'R', 'Python', 'Computer Vision']"
02FUDWABEIZ9,"['Computer Vision', 'GCP', 'SQL', 'Python', 'R', 'Scikit-learn']"
02G1K5JAW2DF,"['AWS', 'Computer Vision', 'R', 'Scikit-learn', 'Python', 'Azure']"
02GVLLSAJHJX,"['GCP', 'R', 'PyTorch', 'Azure']"
02KRBWNYIZER,"['NLP', 'SQL', 'Python', 'Scikit-learn', 'AWS']"
02LKZQGPUIXK,"['Python', 'TensorFlow', 'GCP', 'R', 'PyTorch', 'AWS']"
02MNB044K0AU,"['Python', 'SQL', 'AWS']"
02PS14HQES30,"['Azure', 'Scikit-learn', 'NLP', 'Computer Vision', 'AWS', 'SQL']"
02REMM4GOXWR,"['GCP', 'R', 'PyTorch']"
02UGNJZHRQH0,"['Scikit-learn', 'Azure', 'AWS']"
02VS4NFW2GI8,"['Computer Vision', 'Python', 'AWS']"
02WEJX10EW9H,"['PyTorch', 'Azure', 'AWS', 'Computer Vision', 'TensorFlow']"
02XXUCDJ236C,"['TensorFlow', 'SQL', 'PyTorch', 'Azure']"
02YY0K8K8A4I,"['NLP', 'Python', 'AWS', 'PyTorch', 'R', 'TensorFlow']"
02Z38VF4ICY3,"['TensorFlow', 'AWS', 'Scikit-learn', 'PyTorch', 'Azure', 'NLP']"
030E8ZQ6AEND,"['AWS', 'Azure', 'SQL', 'Scikit-learn', 'TensorFlow']"
0313Z8407UQR,"['PyTorch', 'NLP', 'R', 'Python', 'Azure']"
0316HOWU1IUC,"['PyTorch', 'TensorFlow', 'SQL', 'R', 'Scikit-learn', 'GCP']"
031DWEBP4BFF,"['R', 'Scikit-learn', 'AWS', 'Azure']"
034CBFCCZNHM,"['Python', 'R', 'SQL', 'GCP', 'Azure']"
0369773501QU,"['GCP', 'TensorFlow', 'Scikit-learn', 'SQL', 'Azure', 'PyTorch']"
0370VZ6VJ0SS,"['AWS', 'PyTorch', 'SQL', 'Computer Vision', 'GCP', 'Scikit-learn']"
037NKGPH4P64,"['GCP', 'PyTorch', 'AWS']"
0389PKSLGL2O,"['GCP', 'NLP', 'Computer Vision', 'AWS']"
038LH0UBY00Q,"['Python', 'GCP', 'SQL', 'PyTorch', 'TensorFlow']"
03AKTIWEVJFV,"['SQL', 'R', 'NLP']"
03CTM20M26W0,"['Python', 'NLP', 'TensorFlow', 'R', 'Scikit-learn']"
03DAZ3RWBJ9C,"['SQL', 'GCP', 'NLP', 'TensorFlow']"
03ETFBO98GG1,"['TensorFlow', 'Scikit-learn', 'R', 'Computer Vision']"
03GDIJ6VRUFF,"['Python', 'GCP', 'Azure']"
03GWGXIXCPEA,"['R', 'PyTorch', 'Azure', 'TensorFlow', 'NLP']"
03HAUO1DXTMT,"['Azure', 'R', 'PyTorch', 'TensorFlow', 'Computer Vision', 'AWS']"
03HXRLB2Z0P3,"['PyTorch', 'TensorFlow', 'AWS']"
03IZFR3FT4QR,"['PyTorch', 'R', 'TensorFlow', 'Azure']"
03J73ASSCCTE,"['Python', 'GCP', 'AWS', 'Azure', 'R']"
03JEW1VW1D3L,"['TensorFlow', 'Azure', 'Python']"
03LA6RW1P1VR,"['R', 'NLP', 'PyTorch', 'SQL']"
03OD4JHRRRSU,"['Scikit-learn', 'R', 'Python', 'NLP']"
03PFN5WVFP29,"['TensorFlow', 'AWS', 'Computer Vision', 'PyTorch', 'NLP']"
03Q3QD5T5UK7,"['Scikit-learn', 'PyTorch', 'Python', 'Azure', 'R', 'AWS']"
03RVNRXVRQ5W,"['GCP', 'PyTorch', 'Python', 'Computer Vision']"
03RWER2ZI8NY,"['PyTorch', 'R', 'Computer Vision', 'AWS', 'TensorFlow']"
03TV6F4QIJOO,"['PyTorch', 'SQL', 'Scikit-learn', 'GCP', 'Azure']"
03VYIGTZR1SY,"['NLP', 'SQL', 'TensorFlow', 'PyTorch']"
03WD6CXBOISP,"['NLP', 'Python', 'Azure', 'Scikit-learn']"
03WVK5HCE1KS,"['AWS', 'Computer Vision', 'Python', 'Azure', 'TensorFlow', 'R']"
03XNCZRJQ6UQ,"['Scikit-learn', 'AWS', 'R']"
03XR7AHGH0ZW,"['TensorFlow', 'Python', 'Azure', 'NLP', 'Scikit-learn']"
040CGBJXCTQL,"['R', 'Scikit-learn', 'PyTorch', 'SQL']"
